행정구역,2011년07월_계_총인구수,2011년07월_계_연령구간인구수,2011년07월_계_0~9세,2011년07월_계_10~19세,2011년07월_계_20~29세,2011년07월_계_30~39세,2011년07월_계_40~49세,2011년07월_계_50~59세,2011년07월_계_60~69세,2011년07월_계_70~79세,2011년07월_계_80~89세,2011년07월_계_90~99세,2011년07월_계_100세 이상,2011년07월_남_총인구수,2011년07월_남_연령구간인구수,2011년07월_남_0~9세,2011년07월_남_10~19세,2011년07월_남_20~29세,2011년07월_남_30~39세,2011년07월_남_40~49세,2011년07월_남_50~59세,2011년07월_남_60~69세,2011년07월_남_70~79세,2011년07월_남_80~89세,2011년07월_남_90~99세,2011년07월_남_100세 이상,2011년07월_여_총인구수,2011년07월_여_연령구간인구수,2011년07월_여_0~9세,2011년07월_여_10~19세,2011년07월_여_20~29세,2011년07월_여_30~39세,2011년07월_여_40~49세,2011년07월_여_50~59세,2011년07월_여_60~69세,2011년07월_여_70~79세,2011년07월_여_80~89세,2011년07월_여_90~99세,2011년07월_여_100세 이상
서울특별시 중구 명동(1114055000),3434,3434,139,196,427,566,630,671,441,250,91,16,7,1546,1546,73,85,214,265,305,304,182,93,20,5,0,1888,1888,66,111,213,301,325,367,259,157,71,11,7
서울특별시 중구 필동(1114057000),4564,4564,249,382,727,730,717,816,474,319,127,19,4,2428,2428,137,197,428,421,423,410,231,130,45,4,2,2136,2136,112,185,299,309,294,406,243,189,82,15,2
서울특별시 중구 장충동(1114058000),5666,5666,367,530,1303,1016,793,715,500,308,117,17,0,2912,2912,183,287,726,544,405,347,231,144,38,7,0,2754,2754,184,243,577,472,388,368,269,164,79,10,0
서울특별시 중구 광희동(1114059000),5769,5769,271,410,801,932,964,1138,712,369,143,23,6,3134,3134,126,212,446,532,573,635,382,155,63,9,1,2635,2635,145,198,355,400,391,503,330,214,80,14,5
서울특별시 중구 을지로동(1114060500),2036,2036,69,93,217,286,335,460,314,161,80,16,5,1258,1258,30,49,127,178,240,303,210,80,31,9,1,778,778,39,44,90,108,95,157,104,81,49,7,4
서울특별시 중구 신당제1동(1114061000),8283,8283,443,879,1230,1374,1537,1321,834,477,161,23,4,4252,4252,225,475,624,755,849,650,400,211,53,8,2,4031,4031,218,404,606,619,688,671,434,266,108,15,2
서울특별시 중구 신당제2동(1114062000),16736,16736,1114,1825,2643,3079,2781,2452,1639,893,272,35,3,8284,8284,572,947,1368,1600,1398,1146,762,383,97,9,2,8452,8452,542,878,1275,1479,1383,1306,877,510,175,26,1
서울특별시 중구 신당제3동(1114063000),19635,19635,1768,1713,2674,3712,3053,3018,2038,1185,402,68,4,9508,9508,881,881,1350,1854,1525,1439,951,473,133,19,2,10127,10127,887,832,1324,1858,1528,1579,1087,712,269,49,2
서울특별시 중구 신당제4동(1114064000),16157,16157,1380,1842,2279,2918,2725,2296,1386,954,322,45,10,7783,7783,717,969,1087,1437,1344,1119,593,397,103,14,3,8374,8374,663,873,1192,1481,1381,1177,793,557,219,31,7
서울특별시 중구 신당제5동(1114065000),8193,8193,505,907,1043,1282,1629,1275,851,521,149,24,7,4157,4157,237,501,541,695,874,658,383,207,56,4,1,4036,4036,268,406,502,587,755,617,468,314,93,20,6
서울특별시 중구 신당제6동(1114066000),9603,9603,800,1148,1311,1588,1728,1414,849,555,179,27,4,4728,4728,403,602,671,771,888,693,400,227,65,8,0,4875,4875,397,546,640,817,840,721,449,328,114,19,4
서울특별시 중구 황학동(1114067000),12767,12767,963,1022,1914,2502,2098,2064,1331,640,206,21,6,6543,6543,522,533,990,1317,1164,1038,649,268,57,4,1,6224,6224,441,489,924,1185,934,1026,682,372,149,17,5
서울특별시 중구 중림동(1114068000),12565,12565,861,1358,1580,2087,2203,1977,1368,814,256,46,15,6362,6362,424,666,815,1124,1181,1045,644,355,83,19,6,6203,6203,437,692,765,963,1022,932,724,459,173,27,9
서울특별시 용산구 (1117000000),247206,247206,19315,24548,34848,46898,41796,36114,23302,14668,4786,744,187,120419,120419,9839,12800,17018,23495,21190,17294,10673,6165,1635,260,50,126787,126787,9476,11748,17830,23403,20606,18820,12629,8503,3151,484,137
서울특별시 용산구 후암동(1117051000),20211,20211,1498,2338,2755,3734,3421,2928,1958,1096,397,73,13,10086,10086,768,1303,1456,1903,1710,1438,910,448,124,26,0,10125,10125,730,1035,1299,1831,1711,1490,1048,648,273,47,13
서울특별시 용산구 용산2가동(1117052000),13204,13204,910,1305,1892,2474,2095,2058,1318,789,296,53,14,6402,6402,475,716,936,1291,998,945,623,305,90,21,2,6802,6802,435,589,956,1183,1097,1113,695,484,206,32,12
서울특별시 용산구 남영동(1117053000),7882,7882,325,522,1069,1315,1455,1550,892,526,168,40,20,4678,4678,169,279,540,809,983,992,521,283,70,21,11,3204,3204,156,243,529,506,472,558,371,243,98,19,9
서울특별시 용산구 청파동(1117055500),23761,23761,1438,2495,4417,4724,3851,3097,2053,1241,370,58,17,11541,11541,763,1321,1938,2469,1970,1499,922,532,104,19,4,12220,12220,675,1174,2479,2255,1881,1598,1131,709,266,39,13
서울특별시 용산구 원효로제1동(1117056000),12455,12455,1124,1002,1875,2853,1886,1785,1098,601,189,29,13,6228,6228,583,523,920,1472,994,852,521,284,64,12,3,6227,6227,541,479,955,1381,892,933,577,317,125,17,10
서울특별시 용산구 원효로제2동(1117057000),15887,15887,1469,2005,1904,2849,2916,2205,1333,894,273,32,7,7608,7608,743,915,934,1419,1477,1079,601,338,92,7,3,8279,8279,726,1090,970,1430,1439,1126,732,556,181,25,4
서울특별시 용산구 효창동(1117058000),11399,11399,947,1427,1587,2064,1979,1503,1003,658,193,34,4,5556,5556,481,804,748,1029,983,720,437,267,74,13,0,5843,5843,466,623,839,1035,996,783,566,391,119,21,4
서울특별시 용산구 용문동(1117059000),13357,13357,1284,1401,1707,2679,2192,1865,1251,711,228,28,11,6543,6543,664,697,851,1357,1133,871,573,312,69,10,6,6814,6814,620,704,856,1322,1059,994,678,399,159,18,5
서울특별시 용산구 한강로동(1117062500),15694,15694,1063,1048,2346,2848,2449,2655,1841,1015,348,63,18,7864,7864,549,564,1155,1448,1320,1310,908,470,114,21,5,7830,7830,514,484,1191,1400,1129,1345,933,545,234,42,13
서울특별시 용산구 이촌제1동(1117063000),27015,27015,3189,3396,2881,4658,5076,3475,2057,1611,559,94,19,12636,12636,1599,1744,1358,1963,2457,1688,881,686,225,32,3,14379,14379,1590,1652,1523,2695,2619,1787,1176,925,334,62,16
서울특별시 용산구 이촌제2동(1117064000),10542,10542,956,857,1397,1957,1633,1700,1126,666,216,29,5,5069,5069,479,447,710,995,834,753,532,260,51,7,1,5473,5473,477,410,687,962,799,947,594,406,165,22,4
서울특별시 용산구 이태원제1동(1117065000),8605,8605,458,668,1285,1539,1430,1378,905,652,242,33,15,3960,3960,231,338,616,756,701,600,361,262,79,12,4,4645,4645,227,330,669,783,729,778,544,390,163,21,11
서울특별시 용산구 이태원제2동(1117066000),11318,11318,756,917,1559,2255,1778,1675,1256,826,258,31,7,5285,5285,353,484,767,1097,861,732,550,342,86,11,2,6033,6033,403,433,792,1158,917,943,706,484,172,20,5
서울특별시 용산구 한남동(1117068500),23944,23944,1477,1725,3835,5126,3894,3657,2346,1377,422,71,14,11548,11548,715,905,1893,2615,1947,1659,1073,573,141,24,3,12396,12396,762,820,1942,2511,1947,1998,1273,804,281,47,11
서울특별시 용산구 서빙고동(1117069000),13852,13852,1321,1753,1645,2361,2588,1806,1128,900,310,38,2,6673,6673,682,848,818,1135,1293,911,472,368,131,15,0,7179,7179,639,905,827,1226,1295,895,656,532,179,23,2
서울특별시 용산구 보광동(1117070000),18080,18080,1100,1689,2694,3462,3153,2777,1737,1105,317,38,8,8742,8742,585,912,1378,1737,1529,1245,788,435,121,9,3,9338,9338,515,777,1316,1725,1624,1532,949,670,196,29,5
서울특별시 성동구 (1120000000),304411,304411,25405,32652,45539,57019,52177,44535,27106,14999,4197,662,120,152614,152614,12997,16888,23063,29160,27439,22215,12812,6486,1351,174,29,151797,151797,12408,15764,22476,27859,24738,22320,14294,8513,2846,488,91
서울특별시 성동구 왕십리제2동(1120052000),17874,17874,1526,2064,2505,3368,3123,2546,1623,824,238,45,12,8915,8915,783,1103,1210,1682,1626,1274,765,378,74,16,4,8959,8959,743,961,1295,1686,1497,1272,858,446,164,29,8
서울특별시 성동구 왕십리도선동(1120053500),12916,12916,853,1297,1986,2121,2249,2027,1301,807,220,46,9,6423,6423,438,690,974,1085,1159,1018,625,344,78,11,1,6493,6493,415,607,1012,1036,1090,1009,676,463,142,35,8
서울특별시 성동구 마장동(1120054000),25672,25672,2172,3000,3921,4406,4325,3867,2285,1266,371,49,10,12897,12897,1137,1537,2003,2257,2235,1957,1105,539,116,9,2,12775,12775,1035,1463,1918,2149,2090,1910,1180,727,255,40,8
서울특별시 성동구 사근동(1120055000),10819,10819,523,971,3412,1662,1319,1228,971,557,147,26,3,5748,5748,256,493,2007,964,675,591,440,263,48,10,1,5071,5071,267,478,1405,698,644,637,531,294,99,16,2
서울특별시 성동구 행당제1동(1120056000),17868,17868,1441,1843,2871,3325,2916,2608,1641,925,256,36,6,8796,8796,713,940,1444,1669,1491,1277,765,404,85,4,4,9072,9072,728,903,1427,1656,1425,1331,876,521,171,32,2
