행정구역,2011년07월_계_총인구수,2011년07월_계_연령구간인구수,2011년07월_계_0~9세,2011년07월_계_10~19세,2011년07월_계_20~29세,2011년07월_계_30~39세,2011년07월_계_40~49세,2011년07월_계_50~59세,2011년07월_계_60~69세,2011년07월_계_70~79세,2011년07월_계_80~89세,2011년07월_계_90~99세,2011년07월_계_100세 이상,2011년07월_남_총인구수,2011년07월_남_연령구간인구수,2011년07월_남_0~9세,2011년07월_남_10~19세,2011년07월_남_20~29세,2011년07월_남_30~39세,2011년07월_남_40~49세,2011년07월_남_50~59세,2011년07월_남_60~69세,2011년07월_남_70~79세,2011년07월_남_80~89세,2011년07월_남_90~99세,2011년07월_남_100세 이상,2011년07월_여_총인구수,2011년07월_여_연령구간인구수,2011년07월_여_0~9세,2011년07월_여_10~19세,2011년07월_여_20~29세,2011년07월_여_30~39세,2011년07월_여_40~49세,2011년07월_여_50~59세,2011년07월_여_60~69세,2011년07월_여_70~79세,2011년07월_여_80~89세,2011년07월_여_90~99세,2011년07월_여_100세 이상
대구광역시 달성군 가창면(2771031000),8608,8608,478,793,991,1019,1255,1604,1133,922,357,53,3,4316,4316,265,436,550,551,690,780,570,364,95,15,0,4292,4292,213,357,441,468,565,824,563,558,262,38,3
대구광역시 달성군 하빈면(2771033000),4467,4467,178,338,582,400,755,876,590,555,167,24,2,2459,2459,103,201,345,260,462,510,285,219,66,8,0,2008,2008,75,137,237,140,293,366,305,336,101,16,2
대구광역시 달성군 옥포면(2771034000),10837,10837,892,1304,1250,1491,1986,1701,1116,880,197,19,1,5684,5684,462,734,675,825,1117,933,521,354,61,2,0,5153,5153,430,570,575,666,869,768,595,526,136,17,1
대구광역시 달성군 현풍면(2771036000),10647,10647,636,1547,1346,1155,2024,1734,1055,850,269,31,0,5395,5395,311,818,767,623,1079,940,478,301,75,3,0,5252,5252,325,729,579,532,945,794,577,549,194,28,0
대구광역시 달성군 유가면(2771037000),2719,2719,74,214,320,226,402,543,407,387,135,11,0,1391,1391,38,116,197,140,245,280,197,132,42,4,0,1328,1328,36,98,123,86,157,263,210,255,93,7,0
대구광역시 달성군 구지면(2771038000),5961,5961,454,375,672,904,838,966,736,738,251,26,1,3084,3084,230,205,389,547,516,494,352,269,76,6,0,2877,2877,224,170,283,357,322,472,384,469,175,20,1
인천광역시  (2800000000),2782458,2782458,263413,386214,388168,465563,516668,407683,195887,114482,38794,5147,439,1401993,1401993,135612,201597,200299,238829,261769,209110,95697,46334,11290,1336,120,1380465,1380465,127801,184617,187869,226734,254899,198573,100190,68148,27504,3811,319
인천광역시 중구 (2811000000),93520,93520,8644,10274,11227,16682,16034,14402,8976,5147,1802,306,26,48672,48672,4511,5383,6023,9119,8994,7441,4395,2167,531,101,7,44848,44848,4133,4891,5204,7563,7040,6961,4581,2980,1271,205,19
인천광역시 중구 연안동(2811052000),8369,8369,582,824,1115,1283,1466,1567,870,474,170,15,3,4464,4464,290,449,635,734,837,831,441,195,47,5,0,3905,3905,292,375,480,549,629,736,429,279,123,10,3
인천광역시 중구 신포동(2811053000),6436,6436,403,655,752,1036,1056,1057,774,501,170,30,2,3255,3255,203,341,399,570,563,520,373,220,57,9,0,3181,3181,200,314,353,466,493,537,401,281,113,21,2
인천광역시 중구 신흥동(2811054000),15896,15896,1386,1691,2139,2763,2660,2546,1588,814,278,30,1,8121,8121,708,921,1108,1485,1433,1258,780,346,76,6,0,7775,7775,678,770,1031,1278,1227,1288,808,468,202,24,1
인천광역시 중구 도원동(2811056000),5292,5292,383,588,681,867,831,904,599,323,97,19,0,2740,2740,221,310,363,499,444,434,303,133,26,7,0,2552,2552,162,278,318,368,387,470,296,190,71,12,0
인천광역시 중구 율목동(2811057000),4941,4941,346,568,656,825,790,794,547,300,92,20,3,2537,2537,170,294,350,471,422,402,279,115,29,5,0,2404,2404,176,274,306,354,368,392,268,185,63,15,3
인천광역시 중구 동인천동(2811058500),6903,6903,347,651,946,982,1100,1301,783,547,203,39,4,3597,3597,190,332,525,574,622,672,379,230,59,12,2,3306,3306,157,319,421,408,478,629,404,317,144,27,2
인천광역시 중구 북성동(2811060000),4222,4222,215,436,527,562,681,782,551,327,113,25,3,2136,2136,113,222,295,313,373,394,244,130,41,11,0,2086,2086,102,214,232,249,308,388,307,197,72,14,3
인천광역시 중구 송월동(2811061000),6092,6092,474,692,804,907,995,1002,655,389,140,29,5,3031,3031,226,333,461,478,529,496,299,160,35,11,3,3061,3061,248,359,343,429,466,506,356,229,105,18,2
인천광역시 중구 영종동(2811062000),12168,12168,1217,1132,1465,2267,2127,1964,1107,601,240,44,4,6551,6551,638,569,804,1266,1240,1106,570,267,71,19,1,5617,5617,579,563,661,1001,887,858,537,334,169,25,3
인천광역시 중구 영종출장운서지소(2811062700),17942,17942,3034,2665,1658,4532,3417,1233,733,498,145,27,0,9396,9396,1605,1404,805,2332,2003,677,310,206,43,11,0,8546,8546,1429,1261,853,2200,1414,556,423,292,102,16,0
인천광역시 중구 용유동(2811063000),4411,4411,223,335,415,567,773,1055,617,283,122,20,1,2384,2384,131,189,233,336,437,546,345,126,37,3,1,2027,2027,92,146,182,231,336,509,272,157,85,17,0
인천광역시 중구 용유출장무의지소(2811063700),848,848,34,37,69,91,138,197,152,90,32,8,0,460,460,16,19,45,61,91,105,72,39,10,2,0,388,388,18,18,24,30,47,92,80,51,22,6,0
인천광역시 동구 (2814000000),79624,79624,7329,8589,9899,13986,12298,12475,8243,4871,1654,236,44,40208,40208,3755,4497,5146,7462,6639,6240,3873,2007,493,81,15,39416,39416,3574,4092,4753,6524,5659,6235,4370,2864,1161,155,29
인천광역시 동구 만석동(2814051000),7999,7999,835,918,934,1496,1314,1146,707,458,160,27,4,4119,4119,441,496,489,787,763,595,332,169,35,11,1,3880,3880,394,422,445,709,551,551,375,289,125,16,3
인천광역시 동구 화수1.화평동(2814052500),8147,8147,585,1004,1029,1171,1342,1312,939,546,186,27,6,4117,4117,313,531,542,618,722,667,432,232,54,6,0,4030,4030,272,473,487,553,620,645,507,314,132,21,6
인천광역시 동구 화수2동(2814053000),10113,10113,942,1123,1234,1739,1557,1563,1042,664,215,30,4,5046,5046,471,578,660,927,827,769,479,259,63,12,1,5067,5067,471,545,574,812,730,794,563,405,152,18,3
인천광역시 동구 송현1.2동(2814055500),12868,12868,1426,1409,1654,2536,1965,1918,1159,559,206,30,6,6421,6421,735,756,800,1315,1009,958,557,220,59,11,1,6447,6447,691,653,854,1221,956,960,602,339,147,19,5
인천광역시 동구 송현3동(2814057000),4967,4967,320,561,609,760,826,854,554,348,122,12,1,2512,2512,174,296,307,432,442,442,242,138,35,4,0,2455,2455,146,265,302,328,384,412,312,210,87,8,1
인천광역시 동구 송림1동(2814058000),3290,3290,181,304,396,495,426,630,455,297,89,16,1,1649,1649,86,164,216,272,227,301,227,120,32,4,0,1641,1641,95,140,180,223,199,329,228,177,57,12,1
인천광역시 동구 송림2동(2814059000),4054,4054,202,387,500,513,600,765,555,385,128,18,1,2046,2046,113,208,261,278,329,369,273,161,47,7,0,2008,2008,89,179,239,235,271,396,282,224,81,11,1
인천광역시 동구 송림3.5동(2814060500),10194,10194,980,1114,1245,1880,1587,1530,1006,609,210,27,6,5160,5160,496,571,672,1004,841,756,477,259,72,9,3,5034,5034,484,543,573,876,746,774,529,350,138,18,3
인천광역시 동구 송림4동(2814061000),5851,5851,674,618,735,1169,928,860,490,264,96,13,4,3012,3012,315,310,397,623,533,451,233,118,26,3,3,2839,2839,359,308,338,546,395,409,257,146,70,10,1
인천광역시 동구 송림6동(2814063000),7988,7988,947,772,1033,1647,1159,1161,725,397,123,21,3,4013,4013,485,391,515,873,617,567,344,179,33,8,1,3975,3975,462,381,518,774,542,594,381,218,90,13,2
인천광역시 동구 금창동(2814064000),4153,4153,237,379,530,580,594,736,611,344,119,15,8,2113,2113,126,196,287,333,329,365,277,152,37,6,5,2040,2040,111,183,243,247,265,371,334,192,82,9,3
인천광역시 남구 (2817000000),419683,419683,34778,49827,61416,71615,70290,65628,37822,20730,6589,897,91,212122,212122,17883,26086,32220,38241,35922,32237,18339,8854,2062,253,25,207561,207561,16895,23741,29196,33374,34368,33391,19483,11876,4527,644,66
인천광역시 남구 숭의2동(2817052000),10538,10538,741,956,1398,1682,1586,1848,1270,789,245,22,1,5354,5354,402,519,727,930,835,928,583,328,95,7,0,5184,5184,339,437,671,752,751,920,687,461,150,15,1
"인천광역시 남구 숭의1,3동(2817053500)",12376,12376,747,1209,1541,1869,2078,2248,1440,910,284,39,11,6345,6345,375,612,831,1043,1140,1185,680,384,86,7,2,6031,6031,372,597,710,826,938,1063,760,526,198,32,9
인천광역시 남구 숭의4동(2817054000),16040,16040,1153,1862,2208,2450,2644,2569,1665,1064,369,52,4,8033,8033,572,1008,1181,1289,1368,1247,806,423,124,14,1,8007,8007,581,854,1027,1161,1276,1322,859,641,245,38,3
"인천광역시 남구 용현1,4동(2817055500)",20633,20633,1322,2138,3606,3188,3184,3176,2302,1292,368,50,7,10924,10924,710,1140,2159,1871,1703,1527,1060,604,129,19,2,9709,9709,612,998,1447,1317,1481,1649,1242,688,239,31,5
인천광역시 남구 용현2동(2817056000),17163,17163,1460,1942,2260,2930,2738,2768,1810,889,311,46,9,8685,8685,799,1050,1180,1538,1412,1310,889,379,109,14,5,8478,8478,661,892,1080,1392,1326,1458,921,510,202,32,4
인천광역시 남구 용현3동(2817057000),9706,9706,563,931,1315,1508,1610,1708,1128,695,203,39,6,5066,5066,266,480,778,876,890,855,546,293,68,11,3,4640,4640,297,451,537,632,720,853,582,402,135,28,3
인천광역시 남구 용현5동(2817059000),37116,37116,3630,5279,5253,6373,6706,5341,2598,1413,468,52,3,18647,18647,1867,2793,2679,3250,3325,2692,1301,592,131,17,0,18469,18469,1763,2486,2574,3123,3381,2649,1297,821,337,35,3
인천광역시 남구 학익1동(2817060000),35314,35314,3633,5213,4686,5954,6526,5058,2486,1296,411,48,3,17770,17770,1864,2720,2510,2954,3301,2547,1208,537,114,14,1,17544,17544,1769,2493,2176,3000,3225,2511,1278,759,297,34,2
인천광역시 남구 학익2동(2817061000),22178,22178,2049,3086,3000,3520,3988,3296,1796,1040,349,49,5,11030,11030,1071,1604,1537,1768,1987,1631,877,435,103,15,2,11148,11148,978,1482,1463,1752,2001,1665,919,605,246,34,3
인천광역시 남구 도화1동(2817063000),19793,19793,1431,2108,3075,3260,3103,3253,1994,1156,369,40,4,9927,9927,724,1105,1561,1786,1615,1544,950,505,126,10,1,9866,9866,707,1003,1514,1474,1488,1709,1044,651,243,30,3
"인천광역시 남구 도화2,3동(2817064500)",21658,21658,1553,2517,3150,3467,3619,3590,2122,1237,346,54,3,11253,11253,798,1294,1732,1970,1910,1885,1032,519,91,21,1,10405,10405,755,1223,1418,1497,1709,1705,1090,718,255,33,2
인천광역시 남구 주안1동(2817066000),11875,11875,744,905,2469,2506,1816,1819,952,522,122,18,2,6142,6142,389,448,1266,1442,952,888,476,238,38,5,0,5733,5733,355,457,1203,1064,864,931,476,284,84,13,2
인천광역시 남구 주안2동(2817067000),25850,25850,1930,2763,3836,4321,4146,4296,2635,1397,450,66,10,13120,13120,988,1484,2004,2407,2145,2035,1280,596,162,18,1,12730,12730,942,1279,1832,1914,2001,2261,1355,801,288,48,9
인천광역시 남구 주안3동(2817068000),12716,12716,918,1499,1799,2077,2112,2044,1382,665,189,30,1,6483,6483,469,782,964,1150,1108,999,667,275,65,4,0,6233,6233,449,717,835,927,1004,1045,715,390,124,26,1
인천광역시 남구 주안4동(2817069000),24453,24453,1692,2699,3532,3894,3934,4156,2715,1343,424,58,6,12273,12273,880,1429,1842,2098,2001,1949,1331,613,114,14,2,12180,12180,812,1270,1690,1796,1933,2207,1384,730,310,44,4
인천광역시 남구 주안5동(2817070000),23876,23876,1953,2664,3721,4389,3914,3736,1967,1093,384,52,3,12033,12033,985,1390,1929,2419,1966,1833,945,448,105,13,0,11843,11843,968,1274,1792,1970,1948,1903,1022,645,279,39,3
인천광역시 남구 주안6동(2817071000),22420,22420,2516,2188,3418,4823,3277,3285,1737,865,258,45,8,11224,11224,1265,1165,1706,2520,1678,1549,854,386,88,9,4,11196,11196,1251,1023,1712,2303,1599,1736,883,479,170,36,4
인천광역시 남구 주안7동(2817072000),16604,16604,1295,2010,2348,2654,2852,2641,1589,911,273,30,1,8260,8260,673,1078,1231,1375,1370,1268,760,398,96,11,0,8344,8344,622,932,1117,1279,1482,1373,829,513,177,19,1
인천광역시 남구 주안8동(2817073000),24711,24711,2352,3313,3558,4331,4373,3646,1836,944,307,48,3,12184,12184,1195,1709,1751,2245,2113,1788,887,391,95,10,0,12527,12527,1157,1604,1807,2086,2260,1858,949,553,212,38,3
인천광역시 남구 관교동(2817073500),18668,18668,1525,2645,2929,2854,3140,3149,1400,718,270,37,1,9130,9130,763,1338,1492,1390,1482,1546,714,313,80,12,0,9538,9538,762,1307,1437,1464,1658,1603,686,405,190,25,1
인천광역시 남구 문학동(2817074000),15995,15995,1571,1900,2314,3565,2944,2001,998,491,189,22,0,8239,8239,828,938,1160,1920,1621,1031,493,197,43,8,0,7756,7756,743,962,1154,1645,1323,970,505,294,146,14,0
인천광역시 연수구 (2818500000),283840,283840,26538,46419,41018,42606,58325,40608,14771,9367,3677,490,21,142404,142404,13754,24212,21277,21014,28386,21816,7242,3560,1011,125,7,141436,141436,12784,22207,19741,21592,29939,18792,7529,5807,2666,365,14
인천광역시 연수구 옥련1동(2818563000),23243,23243,2209,3899,2943,3549,4843,3127,1449,876,308,40,0,11613,11613,1111,2072,1515,1738,2372,1648,691,362,97,7,0,11630,11630,1098,1827,1428,1811,2471,1479,758,514,211,33,0
인천광역시 연수구 옥련2동(2818564000),24628,24628,2315,4236,3192,3618,5083,3485,1422,911,325,37,4,12185,12185,1161,2192,1597,1751,2445,1863,703,374,92,6,1,12443,12443,1154,2044,1595,1867,2638,1622,719,537,233,31,3
인천광역시 연수구 선학동(2818575000),21302,21302,1352,2709,3836,3162,3807,3704,1504,870,319,38,1,10817,10817,693,1414,2031,1760,1828,1904,755,341,81,10,0,10485,10485,659,1295,1805,1402,1979,1800,749,529,238,28,1
인천광역시 연수구 연수1동(2818576100),27545,27545,2117,4052,4732,4838,5545,3717,1427,816,266,35,0,14641,14641,1121,2060,2590,2767,2895,2079,718,318,86,7,0,12904,12904,996,1992,2142,2071,2650,1638,709,498,180,28,0
인천광역시 연수구 연수2동(2818576200),24593,24593,2065,3589,4095,4013,4565,3698,1259,875,386,47,1,12229,12229,1097,1878,2127,2041,2110,1950,609,301,107,8,1,12364,12364,968,1711,1968,1972,2455,1748,650,574,279,39,0
인천광역시 연수구 연수3동(2818576300),20989,20989,1969,2917,3280,3331,3747,3236,1175,858,419,56,1,10192,10192,983,1516,1681,1669,1730,1675,554,262,101,20,1,10797,10797,986,1401,1599,1662,2017,1561,621,596,318,36,0
인천광역시 연수구 청학동(2818576600),31239,31239,2512,4388,4783,4984,6240,4710,1970,1189,409,51,3,16014,16014,1289,2326,2506,2711,3141,2491,951,467,116,15,1,15225,15225,1223,2062,2277,2273,3099,2219,1019,722,293,36,2
인천광역시 연수구 동춘1동(2818578000),17920,17920,1439,3190,2506,2193,3793,2700,956,711,343,83,6,8780,8780,742,1638,1280,996,1792,1473,465,271,99,23,1,9140,9140,697,1552,1226,1197,2001,1227,491,440,244,60,5
인천광역시 연수구 동춘2동(2818579000),22176,22176,2450,3854,3095,3568,4679,2895,820,580,213,19,3,11050,11050,1299,2030,1577,1668,2220,1577,401,214,57,5,2,11126,11126,1151,1824,1518,1900,2459,1318,419,366,156,14,1
인천광역시 연수구 동춘3동(2818579500),20479,20479,1886,4081,2796,2299,4474,3023,1015,623,258,23,1,10088,10088,974,2145,1425,977,2072,1660,503,247,77,8,0,10391,10391,912,1936,1371,1322,2402,1363,512,376,181,15,1
인천광역시 연수구 송도동(2818581000),49726,49726,6224,9504,5760,7051,11549,6313,1774,1058,431,61,1,24795,24795,3284,4941,2948,2936,5781,3496,892,403,98,16,0,24931,24931,2940,4563,2812,4115,5768,2817,882,655,333,45,1
인천광역시 남동구 (2820000000),491038,491038,49801,67838,69386,85817,90282,70738,32585,17832,5922,781,56,245393,245393,25615,35357,35154,43532,45371,35488,15916,7124,1616,203,17,245645,245645,24186,32481,34232,42285,44911,35250,16669,10708,4306,578,39
인천광역시 남동구 구월1동(2820051000),27587,27587,1979,3594,4991,4988,4930,3980,1815,948,307,53,2,13844,13844,1014,1841,2391,2733,2458,2009,890,406,89,13,0,13743,13743,965,1753,2600,2255,2472,1971,925,542,218,40,2
인천광역시 남동구 구월2동(2820052000),42557,42557,5171,6557,5517,7608,7966,5832,2349,1122,374,58,3,21109,21109,2635,3476,2788,3568,4010,2885,1197,433,99,18,0,21448,21448,2536,3081,2729,4040,3956,2947,1152,689,275,40,3
인천광역시 남동구 구월3동(2820052100),13366,13366,900,1747,2202,2085,2417,2227,1102,523,146,16,1,6692,6692,440,911,1121,1116,1175,1098,547,248,34,2,0,6674,6674,460,836,1081,969,1242,1129,555,275,112,14,1
인천광역시 남동구 구월4동(2820052200),20514,20514,1649,2853,2923,3267,4129,2992,1533,874,260,30,4,10349,10349,887,1462,1513,1702,2132,1514,730,341,60,6,2,10165,10165,762,1391,1410,1565,1997,1478,803,533,200,24,2
인천광역시 남동구 간석1동(2820053000),26654,26654,2385,3082,4092,5008,4329,4040,2135,1130,398,49,6,13274,13274,1251,1579,2030,2647,2218,1945,1018,465,108,12,1,13380,13380,1134,1503,2062,2361,2111,2095,1117,665,290,37,5
인천광역시 남동구 간석2동(2820054000),20867,20867,2183,2702,2953,3657,3538,3270,1536,729,262,35,2,10327,10327,1131,1444,1447,1831,1724,1606,761,293,79,11,0,10540,10540,1052,1258,1506,1826,1814,1664,775,436,183,24,2
인천광역시 남동구 간석3동(2820055000),28765,28765,2026,3651,4277,4771,5275,4664,2378,1310,353,54,6,14638,14638,1035,1810,2205,2627,2791,2345,1110,578,117,16,4,14127,14127,991,1841,2072,2144,2484,2319,1268,732,236,38,2
인천광역시 남동구 간석4동(2820055100),30089,30089,2697,3741,4663,5302,5249,4749,2144,1123,363,54,4,15115,15115,1382,1974,2356,2736,2598,2379,1129,450,98,12,1,14974,14974,1315,1767,2307,2566,2651,2370,1015,673,265,42,3
인천광역시 남동구 만수1동(2820056000),20248,20248,1619,2671,2853,3309,3720,3081,1598,1037,321,37,2,10007,10007,846,1399,1491,1773,1848,1494,714,350,83,9,0,10241,10241,773,1272,1362,1536,1872,1587,884,687,238,28,2
인천광역시 남동구 만수2동(2820057000),27097,27097,2568,3717,3965,4513,4756,4104,2019,1054,350,45,6,13439,13439,1269,1926,2023,2340,2325,2018,997,423,99,16,3,13658,13658,1299,1791,1942,2173,2431,2086,1022,631,251,29,3
인천광역시 남동구 만수3동(2820058000),20734,20734,1930,3060,2946,3267,3864,3097,1531,764,235,35,5,10413,10413,1001,1558,1543,1679,1925,1562,766,304,62,10,3,10321,10321,929,1502,1403,1588,1939,1535,765,460,173,25,2
인천광역시 남동구 만수4동(2820058100),22642,22642,2505,3323,3080,3993,4171,3167,1241,759,370,33,0,11288,11288,1317,1781,1609,2004,2012,1606,599,257,93,10,0,11354,11354,1188,1542,1471,1989,2159,1561,642,502,277,23,0
인천광역시 남동구 만수5동(2820058200),19720,19720,1457,2406,3098,3045,3417,3370,1762,870,270,22,3,9915,9915,729,1268,1603,1630,1726,1657,874,358,64,5,1,9805,9805,728,1138,1495,1415,1691,1713,888,512,206,17,2
인천광역시 남동구 만수6동(2820058300),29771,29771,2723,4620,4383,4586,5794,4339,1726,1144,406,47,3,14635,14635,1393,2408,2119,2242,2810,2274,840,425,110,14,0,15136,15136,1330,2212,2264,2344,2984,2065,886,719,296,33,3
인천광역시 남동구 장수서창동(2820065000),19846,19846,2456,2618,2654,3553,3502,2880,1235,674,242,32,0,9856,9856,1240,1346,1353,1754,1737,1442,611,299,68,6,0,9990,9990,1216,1272,1301,1799,1765,1438,624,375,174,26,0
인천광역시 남동구 남촌도림동(2820066000),25242,25242,2519,3817,3277,4159,4945,3592,1648,930,311,43,1,12924,12924,1327,1996,1735,2140,2526,1898,835,371,88,8,0,12318,12318,1192,1821,1542,2019,2419,1694,813,559,223,35,1
인천광역시 남동구 논현1동(2820069000),30838,30838,4011,4626,3728,5771,6039,3811,1570,914,320,46,2,15349,15349,2115,2408,1878,2739,3094,1924,733,355,89,13,1,15489,15489,1896,2218,1850,3032,2945,1887,837,559,231,33,1
인천광역시 남동구 논현2동(2820070000),33278,33278,4242,4491,4246,6563,6117,4068,1915,1197,380,56,3,16528,16528,2160,2346,2118,3340,3039,2031,894,483,103,14,0,16750,16750,2082,2145,2128,3223,3078,2037,1021,714,277,42,3
인천광역시 남동구 논현고잔동(2820071000),31223,31223,4781,4562,3538,6372,6124,3475,1348,730,254,36,3,15691,15691,2443,2424,1831,2931,3223,1801,671,285,73,8,1,15532,15532,2338,2138,1707,3441,2901,1674,677,445,181,28,2
인천광역시 부평구 (2823700000),562110,562110,51115,77846,81130,94451,103946,83670,38996,22485,7426,947,98,281758,281758,26377,40568,41357,48291,52256,42444,19081,8932,2210,213,29,280352,280352,24738,37278,39773,46160,51690,41226,19915,13553,5216,734,69
인천광역시 부평구 부평1동(2823751000),34954,34954,3087,4506,5402,5930,5953,5357,2546,1586,503,76,8,17109,17109,1591,2290,2671,2948,2874,2619,1263,665,172,16,0,17845,17845,1496,2216,2731,2982,3079,2738,1283,921,331,60,8
인천광역시 부평구 부평2동(2823752000),22548,22548,1930,2649,3585,4265,3747,3250,1826,978,274,39,5,11262,11262,988,1360,1843,2231,1948,1532,876,380,92,11,1,11286,11286,942,1289,1742,2034,1799,1718,950,598,182,28,4
인천광역시 부평구 부평3동(2823753000),16097,16097,1101,1721,2451,2668,2652,2738,1553,885,278,39,11,8101,8101,571,900,1264,1437,1324,1396,743,361,88,11,6,7996,7996,530,821,1187,1231,1328,1342,810,524,190,28,5
인천광역시 부평구 부평4동(2823754000),25641,25641,2056,2913,3957,4834,4319,3931,2060,1171,353,40,7,13036,13036,1062,1543,2018,2630,2228,1952,1000,480,111,7,5,12605,12605,994,1370,1939,2204,2091,1979,1060,691,242,33,2
인천광역시 부평구 부평5동(2823755000),25011,25011,2126,2949,3783,4742,4351,3598,2006,1070,337,45,4,12666,12666,1080,1521,2004,2539,2261,1734,950,460,110,6,1,12345,12345,1046,1428,1779,2203,2090,1864,1056,610,227,39,3
인천광역시 부평구 부평6동(2823756000),13766,13766,935,1214,2463,2623,2018,2344,1176,758,205,24,6,6881,6881,504,641,1148,1425,1048,1161,584,310,56,3,1,6885,6885,431,573,1315,1198,970,1183,592,448,149,21,5
인천광역시 부평구 산곡1동(2823757000),21189,21189,1453,2873,3016,3083,4030,3482,1796,1027,375,48,6,10710,10710,726,1522,1629,1574,2084,1764,901,399,98,13,0,10479,10479,727,1351,1387,1509,1946,1718,895,628,277,35,6
인천광역시 부평구 산곡2동(2823758000),33664,33664,3238,5699,4645,4942,6803,4935,1934,1021,392,53,2,16705,16705,1659,3042,2337,2330,3290,2524,982,408,119,13,1,16959,16959,1579,2657,2308,2612,3513,2411,952,613,273,40,1
인천광역시 부평구 산곡3동(2823758100),26840,26840,2092,3820,3907,3647,4671,4519,2048,1487,575,64,10,13214,13214,1095,2036,2047,1821,2193,2251,981,581,188,16,5,13626,13626,997,1784,1860,1826,2478,2268,1067,906,387,48,5
인천광역시 부평구 산곡4동(2823758200),20951,20951,1939,3467,2887,3201,4050,3101,1210,789,280,27,0,10193,10193,1005,1776,1429,1519,1896,1585,594,299,82,8,0,10758,10758,934,1691,1458,1682,2154,1516,616,490,198,19,0
인천광역시 부평구 청천1동(2823759100),17409,17409,1264,2049,2485,2847,3461,2877,1454,694,234,39,5,9387,9387,624,1139,1362,1639,1937,1563,760,289,61,11,2,8022,8022,640,910,1123,1208,1524,1314,694,405,173,28,3
인천광역시 부평구 청천2동(2823759200),38409,38409,3856,5537,5362,6723,7458,5440,2300,1303,375,52,3,19383,19383,1985,2867,2772,3456,3772,2762,1119,536,105,9,0,19026,19026,1871,2670,2590,3267,3686,2678,1181,767,270,43,3
인천광역시 부평구 갈산1동(2823764100),18793,18793,1642,2433,2993,3169,3460,2870,1294,699,205,25,3,9563,9563,919,1228,1554,1712,1709,1449,632,296,58,6,0,9230,9230,723,1205,1439,1457,1751,1421,662,403,147,19,3
인천광역시 부평구 갈산2동(2823764200),23941,23941,2018,3130,4026,3702,4171,3935,1609,934,371,43,2,11901,11901,1034,1691,2056,1946,1920,2007,817,319,99,11,1,12040,12040,984,1439,1970,1756,2251,1928,792,615,272,32,1
인천광역시 부평구 삼산1동(2823764600),41020,41020,4742,6735,4993,7252,8149,5039,2068,1395,571,71,5,20381,20381,2451,3556,2549,3517,4099,2651,932,452,157,17,0,20639,20639,2291,3179,2444,3735,4050,2388,1136,943,414,54,5
인천광역시 부평구 삼산2동(2823764800),31617,31617,4082,5698,3453,5161,6895,3729,1403,833,312,49,2,15423,15423,2075,2916,1695,2236,3541,1926,626,315,82,10,1,16194,16194,2007,2782,1758,2925,3354,1803,777,518,230,39,1
인천광역시 부평구 부개1동(2823765000),20916,20916,1586,2411,3190,3576,3528,3450,1907,970,260,36,2,10745,10745,849,1256,1642,1990,1823,1724,953,419,82,7,0,10171,10171,737,1155,1548,1586,1705,1726,954,551,178,29,2
인천광역시 부평구 부개2동(2823766000),24353,24353,2354,3237,3578,4346,4238,3529,1796,959,282,32,2,12072,12072,1161,1711,1717,2260,2085,1761,901,391,78,7,0,12281,12281,1193,1526,1861,2086,2153,1768,895,568,204,25,2
인천광역시 부평구 부개3동(2823766100),38300,38300,3928,6680,5005,6346,8076,4821,1886,1118,405,34,1,18877,18877,2016,3434,2435,3062,3914,2578,919,395,114,10,0,19423,19423,1912,3246,2570,3284,4162,2243,967,723,291,24,1
인천광역시 부평구 일신동(2823767000),14826,14826,1749,1769,2176,2798,2313,2296,1038,506,158,23,0,7546,7546,928,879,1154,1425,1178,1200,517,213,46,6,0,7280,7280,821,890,1022,1373,1135,1096,521,293,112,17,0
인천광역시 부평구 십정1동(2823768000),22509,22509,1865,2833,3061,3822,4090,3538,1889,1058,310,36,7,11555,11555,975,1408,1634,2023,2227,1852,889,446,92,6,3,10954,10954,890,1425,1427,1799,1863,1686,1000,612,218,30,4
인천광역시 부평구 십정2동(2823769000),29356,29356,2072,3523,4712,4774,5513,4891,2197,1244,371,52,7,15048,15048,1079,1852,2397,2571,2905,2453,1142,518,120,9,2,14308,14308,993,1671,2315,2203,2608,2438,1055,726,251,43,5
인천광역시 계양구 (2824500000),345671,345671,32899,53373,50869,57098,69494,48635,18132,11062,3645,420,44,173798,173798,16865,27861,25744,28861,34354,25890,8917,4172,1040,86,8,171873,171873,16034,25512,25125,28237,35140,22745,9215,6890,2605,334,36
인천광역시 계양구 효성1동(2824560100),34318,34318,2856,5536,5052,4960,6895,5325,2037,1187,409,51,10,17364,17364,1469,2904,2601,2524,3389,2849,1050,448,119,9,2,16954,16954,1387,2632,2451,2436,3506,2476,987,739,290,42,8
인천광역시 계양구 효성2동(2824560200),35692,35692,3471,5634,5141,5688,7127,5189,2018,1073,313,37,1,18150,18150,1799,2911,2654,2863,3574,2784,1034,437,85,9,0,17542,17542,1672,2723,2487,2825,3553,2405,984,636,228,28,1
인천광역시 계양구 계산1동(2824561100),24925,24925,1865,3317,4198,3936,4788,4008,1551,916,304,38,4,12839,12839,987,1769,2140,2080,2525,2117,783,335,95,7,1,12086,12086,878,1548,2058,1856,2263,1891,768,581,209,31,3
