행정구역,2022년07월_남_총인구수,2022년07월_남_연령구간인구수,2022년07월_남_0~9세,2022년07월_남_10~19세,2022년07월_남_20~29세,2022년07월_남_30~39세,2022년07월_남_40~49세,2022년07월_남_50~59세,2022년07월_남_60~69세,2022년07월_남_70~79세,2022년07월_남_80~89세,2022년07월_남_90~99세,2022년07월_남_100세 이상,2022년07월_여_총인구수,2022년07월_여_연령구간인구수,2022년07월_여_0~9세,2022년07월_여_10~19세,2022년07월_여_20~29세,2022년07월_여_30~39세,2022년07월_여_40~49세,2022년07월_여_50~59세,2022년07월_여_60~69세,2022년07월_여_70~79세,2022년07월_여_80~89세,2022년07월_여_90~99세,2022년07월_여_100세 이상
경상북도 성주군 가천면(4784034000),1008,1008,30,19,60,64,101,198,302,142,84,8,0,986,986,27,24,38,35,51,172,271,177,159,29,3
경상북도 성주군 금수면(4784035000),635,635,15,19,31,38,68,125,173,109,54,3,0,572,572,8,13,20,17,39,108,132,113,103,19,0
경상북도 성주군 대가면(4784036000),1206,1206,31,40,80,71,124,242,318,195,97,8,0,1194,1194,30,41,72,51,76,185,291,241,176,31,0
경상북도 성주군 벽진면(4784037000),1588,1588,46,37,98,102,168,299,442,278,104,14,0,1448,1448,51,40,62,83,78,231,388,284,200,30,1
경상북도 성주군 초전면(4784038000),2251,2251,94,99,166,142,246,463,560,330,143,8,0,2170,2170,75,78,96,145,164,360,543,368,294,46,1
경상북도 성주군 월항면(4784039000),1764,1764,61,57,123,114,175,358,484,261,121,10,0,1524,1524,44,52,80,87,106,264,393,275,194,28,1
경상북도 칠곡군 (4785000000),59040,59040,4141,5905,6526,7112,11012,10998,8072,3538,1571,165,0,54117,54117,3959,5327,4697,6008,9442,9288,7313,4274,3244,545,20
경상북도 칠곡군 왜관읍(4785025000),16277,16277,1054,1645,2067,1654,2609,3211,2452,1025,510,50,0,16165,16165,975,1586,1470,1424,2533,3099,2444,1390,1062,172,10
경상북도 칠곡군 북삼읍(4785025300),12643,12643,836,1595,1633,1207,2472,2752,1424,517,187,20,0,11656,11656,794,1436,1134,1101,2511,2401,1209,620,395,54,1
경상북도 칠곡군 석적읍(4785025600),16951,16951,1934,2068,1669,3329,4281,2218,959,353,126,14,0,14303,14303,1884,1806,1339,2851,3280,1460,927,433,282,41,0
경상북도 칠곡군 지천면(4785031000),2170,2170,25,54,155,126,246,427,611,327,179,20,0,1867,1867,28,46,105,93,97,310,447,359,329,51,2
경상북도 칠곡군 동명면(4785032000),2691,2691,59,75,232,187,272,543,757,386,165,15,0,2601,2601,54,71,128,111,167,497,690,426,367,86,4
경상북도 칠곡군 가산면(4785033000),1832,1832,33,57,112,121,203,399,506,285,100,16,0,1534,1534,37,53,67,72,125,282,394,276,179,49,0
경상북도 칠곡군 약목면(4785036000),4851,4851,108,312,546,350,673,1149,1015,476,204,18,0,4520,4520,111,256,379,238,558,997,899,574,441,66,1
경상북도 칠곡군 기산면(4785037000),1625,1625,92,99,112,138,256,299,348,169,100,12,0,1471,1471,76,73,75,118,171,242,303,196,189,26,2
경상북도 예천군 (4790000000),27353,27353,2151,2362,2248,2621,3816,4166,4997,3047,1797,147,1,28318,28318,2138,2126,1764,2509,3431,3672,4886,3679,3471,620,22
경상북도 예천군 예천읍(4790025000),7141,7141,352,644,747,545,965,1192,1404,859,401,32,0,7337,7337,348,510,533,484,871,1140,1531,1038,736,143,3
경상북도 예천군 용문면(4790031000),1138,1138,24,68,47,38,106,198,285,217,142,13,0,1122,1122,28,43,30,30,60,118,239,252,281,41,0
경상북도 예천군 감천면(4790034000),1296,1296,26,38,78,67,99,211,384,222,152,19,0,1298,1298,22,39,44,35,46,179,325,257,292,59,0
경상북도 예천군 보문면(4790035000),815,815,22,33,31,32,69,163,232,128,93,12,0,840,840,26,24,24,36,36,91,195,183,195,29,1
경상북도 예천군 호명면(4790036000),9798,9798,1567,1321,893,1558,1892,1212,819,339,187,10,0,10264,10264,1542,1263,871,1682,2025,1252,839,388,330,65,7
경상북도 예천군 유천면(4790037000),1272,1272,74,55,161,107,142,197,234,175,119,8,0,1272,1272,71,58,68,79,91,136,238,226,248,54,3
경상북도 예천군 용궁면(4790038000),1142,1142,19,38,46,58,124,194,279,237,135,12,0,1221,1221,21,41,39,34,64,142,308,270,257,42,3
경상북도 예천군 개포면(4790039000),735,735,8,15,34,20,59,129,223,132,109,6,0,775,775,12,16,20,20,26,78,178,182,208,34,1
경상북도 예천군 지보면(4790040000),1309,1309,19,40,54,73,123,211,361,266,152,10,0,1350,1350,23,29,38,39,55,159,333,309,323,42,0
