행정구역,2022년07월_남_총인구수,2022년07월_남_연령구간인구수,2022년07월_남_0~9세,2022년07월_남_10~19세,2022년07월_남_20~29세,2022년07월_남_30~39세,2022년07월_남_40~49세,2022년07월_남_50~59세,2022년07월_남_60~69세,2022년07월_남_70~79세,2022년07월_남_80~89세,2022년07월_남_90~99세,2022년07월_남_100세 이상,2022년07월_여_총인구수,2022년07월_여_연령구간인구수,2022년07월_여_0~9세,2022년07월_여_10~19세,2022년07월_여_20~29세,2022년07월_여_30~39세,2022년07월_여_40~49세,2022년07월_여_50~59세,2022년07월_여_60~69세,2022년07월_여_70~79세,2022년07월_여_80~89세,2022년07월_여_90~99세,2022년07월_여_100세 이상
서울특별시  (1100000000),4604405,4604405,288438,384784,676526,714705,726767,742841,610357,323880,124549,11127,431,4888806,4888806,273213,367346,734916,715810,742021,764605,681402,389075,187450,31656,1312
서울특별시 종로구 (1111000000),69463,69463,3366,5000,10821,9662,9897,12346,10248,5207,2602,298,16,74084,74084,3302,5147,11837,9747,10591,12347,10175,6439,3824,647,28
서울특별시 종로구 청운효자동(1111051500),5401,5401,360,592,725,692,914,845,659,365,227,21,1,6379,6379,347,534,765,847,1159,1044,753,562,318,48,2
서울특별시 종로구 사직동(1111053000),4130,4130,262,292,498,642,624,701,569,296,208,37,1,5162,5162,264,380,658,832,801,838,629,426,284,50,0
서울특별시 종로구 삼청동(1111054000),1131,1131,40,98,143,136,164,187,185,109,54,13,2,1249,1249,49,70,147,159,180,182,223,126,98,13,2
서울특별시 종로구 부암동(1111055000),4491,4491,233,462,608,600,677,770,619,337,165,20,0,4932,4932,239,370,579,597,836,900,707,402,242,55,5
서울특별시 종로구 평창동(1111056000),8367,8367,599,742,1117,1007,1185,1463,1286,609,318,39,2,9606,9606,533,798,1141,1152,1468,1785,1415,730,466,111,7
서울특별시 종로구 무악동(1111057000),3774,3774,274,420,404,395,641,730,503,249,145,12,1,4356,4356,331,535,455,469,720,709,552,341,213,27,4
서울특별시 종로구 교남동(1111058000),4578,4578,391,365,546,692,820,771,549,278,157,9,0,5364,5364,400,414,612,842,944,821,653,430,222,24,2
서울특별시 종로구 가회동(1111060000),1845,1845,99,142,213,243,321,329,263,151,78,6,0,2163,2163,74,157,249,283,348,364,310,227,123,28,0
서울특별시 종로구 종로1.2.3.4가동(1111061500),4274,4274,89,108,491,554,560,861,922,457,212,16,4,2922,2922,86,103,494,414,350,391,474,355,209,45,1
서울특별시 종로구 종로5.6가동(1111063000),2689,2689,39,85,528,444,308,511,439,225,100,9,1,2378,2378,49,106,626,317,207,370,310,246,127,19,1
서울특별시 종로구 이화동(1111064000),3427,3427,106,160,753,610,443,553,426,246,112,17,1,3791,3791,108,179,867,606,442,539,494,319,210,26,1
서울특별시 종로구 혜화동(1111065000),7851,7851,298,634,2182,1056,979,1136,795,478,263,29,1,8496,8496,302,659,2216,958,1063,1232,877,676,434,76,3
서울특별시 종로구 창신제1동(1111067000),2593,2593,59,107,318,352,284,536,573,255,99,10,0,2258,2258,65,93,292,233,270,425,436,266,157,21,0
서울특별시 종로구 창신제2동(1111068000),4028,4028,102,209,553,527,490,918,734,338,136,21,0,3806,3806,84,185,508,394,427,834,698,437,216,23,0
서울특별시 종로구 창신제3동(1111069000),3199,3199,174,232,464,465,422,583,520,226,93,18,2,3301,3301,160,218,432,438,430,639,524,267,171,22,0
서울특별시 종로구 숭인제1동(1111070000),2821,2821,115,178,359,400,442,552,446,227,92,10,0,3017,3017,104,180,388,402,415,571,490,275,162,30,0
서울특별시 종로구 숭인제2동(1111071000),4864,4864,126,174,919,847,623,900,760,361,143,11,0,4904,4904,107,166,1408,804,531,703,630,354,172,29,0
서울특별시 중구 (1114000000),59360,59360,3097,3233,8321,9940,8779,10056,9012,4722,1959,227,14,62778,62778,2957,3254,9673,10022,8406,9804,9004,5712,3302,622,22
서울특별시 중구 소공동(1114052000),1074,1074,83,38,107,220,264,161,132,52,15,2,0,1156,1156,72,85,160,267,241,149,105,51,22,4,0
서울특별시 중구 회현동(1114054000),2446,2446,89,103,215,256,333,472,586,274,103,14,1,2276,2276,83,117,235,292,287,381,429,267,139,43,3
서울특별시 중구 명동(1114055000),1267,1267,52,65,166,207,178,215,216,119,42,6,1,1630,1630,31,78,206,192,232,270,304,187,110,20,0
서울특별시 중구 필동(1114057000),2079,2079,85,99,365,341,259,347,320,163,83,16,1,1968,1968,80,98,357,325,210,239,297,185,138,39,0
서울특별시 중구 장충동(1114058000),2442,2442,84,157,672,376,298,317,286,167,75,10,0,2222,2222,70,151,562,291,256,291,263,190,128,19,1
서울특별시 중구 광희동(1114059000),2676,2676,59,83,455,520,321,439,448,258,84,8,1,2613,2613,54,105,619,420,288,350,372,257,128,20,0
서울특별시 중구 을지로동(1114060500),1055,1055,17,21,111,182,112,198,250,118,42,4,0,684,684,18,19,131,133,70,76,112,78,38,9,0
서울특별시 중구 신당동(1114061500),3797,3797,113,119,604,653,585,697,575,324,113,11,3,3956,3956,146,150,804,669,482,617,531,337,180,40,0
서울특별시 중구 다산동(1114062500),6648,6648,255,412,1075,1131,950,1087,929,555,228,25,1,7072,7072,227,357,1172,1071,892,1163,1080,666,374,67,3
서울특별시 중구 약수동(1114063500),7667,7667,460,469,902,1099,1150,1287,1231,715,314,39,1,8877,8877,487,451,1014,1216,1199,1457,1443,912,576,119,3
서울특별시 중구 청구동(1114064500),6377,6377,339,417,858,1081,862,1094,992,462,248,23,1,7054,7054,317,406,934,1073,908,1172,1070,689,416,67,2
서울특별시 중구 신당제5동(1114065000),4981,4981,258,239,714,841,771,964,696,331,152,14,1,5291,5291,264,267,879,860,726,871,681,471,238,31,3
서울특별시 중구 동화동(1114066500),4883,4883,344,398,595,632,699,921,765,351,158,20,0,5280,5280,283,398,642,672,754,967,779,426,313,44,2
서울특별시 중구 황학동(1114067000),5992,5992,356,230,866,1406,927,881,758,422,129,17,0,6651,6651,345,240,1258,1439,918,900,785,479,233,52,2
서울특별시 중구 중림동(1114068000),5976,5976,503,383,616,995,1070,976,828,411,173,18,3,6048,6048,480,332,700,1102,943,901,753,517,269,48,3
서울특별시 용산구 (1117000000),106743,106743,6269,7367,15128,18775,16394,17722,14281,6993,3361,433,20,115519,115519,6010,7161,17264,19133,16887,18331,15127,9019,5502,1025,60
서울특별시 용산구 후암동(1117051000),8096,8096,430,617,1196,1431,1221,1343,1067,564,202,22,3,8506,8506,398,513,1156,1324,1286,1381,1209,704,445,79,11
서울특별시 용산구 용산2가동(1117052000),4481,4481,143,253,737,843,675,620,637,387,165,21,0,4828,4828,141,229,688,794,618,734,757,515,294,57,1
서울특별시 용산구 남영동(1117053000),4409,4409,86,132,442,529,609,1095,973,382,148,12,1,2845,2845,75,104,472,491,354,494,429,248,144,28,6
서울특별시 용산구 청파동(1117055500),9011,9011,296,513,1641,1752,1267,1487,1165,580,288,21,1,10328,10328,305,534,2537,1536,1252,1534,1282,832,448,65,3
서울특별시 용산구 원효로제1동(1117056000),7796,7796,588,484,1104,1814,1323,1103,850,356,156,17,1,8888,8888,594,464,1741,2069,1313,1116,873,455,216,45,2
서울특별시 용산구 원효로제2동(1117057000),6435,6435,391,469,846,1078,1038,1093,868,451,178,23,0,7241,7241,420,650,1022,1085,1039,1163,928,534,341,55,4
서울특별시 용산구 효창동(1117058000),5095,5095,415,389,753,926,801,807,573,274,140,17,0,5636,5636,407,333,851,1027,852,909,603,397,220,36,1
서울특별시 용산구 용문동(1117059000),5617,5617,329,365,834,971,826,969,717,419,174,13,0,6082,6082,347,330,887,974,849,975,853,550,268,47,2
서울특별시 용산구 한강로동(1117062500),10256,10256,649,534,1460,2311,1408,1624,1328,587,317,37,1,11350,11350,611,475,2038,2539,1489,1731,1312,682,393,73,7
서울특별시 용산구 이촌제1동(1117063000),12026,12026,1253,1359,1265,1350,1979,2126,1457,696,446,91,4,13597,13597,1111,1317,1343,1717,2402,2308,1518,973,748,153,7
서울특별시 용산구 이촌제2동(1117064000),3823,3823,242,245,414,641,590,626,608,310,133,14,0,4357,4357,249,251,409,664,605,709,747,405,262,55,1
서울특별시 용산구 이태원제1동(1117065000),3093,3093,102,131,532,631,409,471,465,211,119,22,0,3216,3216,114,125,478,504,387,522,541,312,183,50,0
서울특별시 용산구 이태원제2동(1117066000),4087,4087,194,200,649,814,620,593,524,309,160,24,0,4794,4794,191,245,692,853,684,683,667,439,295,44,1
서울특별시 용산구 한남동(1117068500),9746,9746,582,575,1278,1826,1607,1503,1341,671,318,37,8,10491,10491,521,568,1205,1950,1627,1669,1497,875,464,106,9
서울특별시 용산구 서빙고동(1117069000),6216,6216,367,723,846,707,1079,1114,798,330,218,34,0,6743,6743,343,731,856,715,1218,1180,785,447,401,66,1
서울특별시 용산구 보광동(1117070000),6556,6556,202,378,1131,1151,942,1148,910,466,199,28,1,6617,6617,183,292,889,891,912,1223,1126,651,380,66,4
서울특별시 성동구 (1120000000),138046,138046,9516,9372,20931,22597,21464,22514,18638,9050,3638,308,18,145572,145572,9067,9488,21732,23445,21343,23097,19451,11177,5863,872,37
서울특별시 성동구 왕십리제2동(1120052000),7879,7879,581,572,1082,1397,1209,1294,1040,485,198,20,1,8415,8415,561,525,1241,1415,1237,1363,1097,634,294,47,1
서울특별시 성동구 왕십리도선동(1120053500),12558,12558,1088,855,1896,2055,2003,2040,1573,712,311,25,0,14020,14020,1041,810,2311,2412,2033,2297,1623,898,505,89,1
서울특별시 성동구 마장동(1120054000),10961,10961,557,739,2133,1650,1444,1705,1580,798,324,30,1,11324,11324,540,793,2098,1536,1388,1827,1606,942,509,82,3
서울특별시 성동구 사근동(1120055000),6307,6307,205,370,2670,918,584,636,466,303,145,9,1,5827,5827,189,442,2125,711,528,663,510,419,218,21,1
서울특별시 성동구 행당제1동(1120056000),6672,6672,483,456,1024,1134,1020,1066,863,430,174,21,1,7208,7208,466,525,1166,1135,1062,1164,861,503,275,46,5
서울특별시 성동구 행당제2동(1120057000),10816,10816,816,878,1307,1621,1796,1955,1375,748,298,21,1,12316,12316,852,1083,1421,1840,1961,2013,1554,1005,505,78,4
서울특별시 성동구 응봉동(1120058000),7249,7249,563,789,836,1005,1297,1220,812,491,220,16,0,7929,7929,491,774,864,1063,1450,1262,961,658,361,45,0
서울특별시 성동구 금호1가동(1120059000),7175,7175,605,544,810,1126,1279,1119,980,497,196,19,0,7889,7889,571,530,812,1276,1273,1218,1170,631,356,49,3
서울특별시 성동구 금호2.3가동(1120061500),10693,10693,859,653,1354,1885,1771,1702,1414,737,287,29,2,11771,11771,811,673,1305,2044,1833,1905,1626,958,537,75,4
서울특별시 성동구 금호4가동(1120062000),6733,6733,653,486,682,1102,1293,1038,858,442,163,14,2,7478,7478,607,454,700,1330,1283,1075,1040,619,326,41,3
서울특별시 성동구 옥수동(1120064500),11969,11969,1213,811,1209,2073,2222,1740,1549,790,322,36,4,13795,13795,1223,828,1415,2523,2272,2058,1897,976,513,87,3
서울특별시 성동구 성수1가제1동(1120065000),8139,8139,531,543,1233,1407,1121,1483,1201,446,160,12,2,8220,8220,462,503,1176,1449,1170,1510,1152,502,251,43,2
서울특별시 성동구 성수1가제2동(1120066000),6011,6011,331,419,873,1155,905,945,823,405,147,8,0,6248,6248,315,386,973,1140,948,964,837,437,225,23,0
서울특별시 성동구 성수2가제1동(1120067000),8132,8132,355,413,1069,1375,1129,1510,1482,567,220,11,1,7428,7428,340,391,1002,1139,962,1292,1307,646,304,42,3
서울특별시 성동구 성수2가제3동(1120069000),5333,5333,281,255,889,909,722,888,822,388,164,14,1,5314,5314,251,232,1013,926,663,820,715,427,232,34,1
서울특별시 성동구 송정동(1120072000),5438,5438,233,298,838,855,799,1005,910,364,122,13,1,4841,4841,203,246,798,687,633,857,778,411,195,32,1
서울특별시 성동구 용답동(1120079000),5981,5981,162,291,1026,930,870,1168,890,447,187,10,0,5549,5549,144,293,1312,819,647,809,717,511,257,38,2
서울특별시 광진구 (1121500000),163882,163882,8781,12423,28682,27203,24607,26355,21157,10312,4000,346,16,175971,175971,8311,12148,32581,27523,25406,27517,23271,12241,5974,962,37
서울특별시 광진구 화양동(1121571000),11320,11320,174,316,4553,2453,1181,1131,831,467,197,16,1,12467,12467,167,429,6009,2222,948,950,883,553,260,44,2
서울특별시 광진구 군자동(1121573000),9669,9669,385,508,2135,1864,1313,1384,1199,644,227,10,0,9857,9857,362,474,2243,1786,1214,1344,1305,709,362,57,1
서울특별시 광진구 중곡제1동(1121574000),7390,7390,336,360,1192,1456,1067,1237,1017,509,204,11,1,7920,7920,325,329,1554,1494,952,1195,1173,595,261,40,2
서울특별시 광진구 중곡제2동(1121575000),9973,9973,488,664,1628,1794,1465,1600,1382,681,257,13,1,11179,11179,479,646,1992,1961,1486,1827,1583,814,327,64,0
서울특별시 광진구 중곡제3동(1121576000),7963,7963,362,436,1209,1445,1127,1386,1193,583,208,13,1,8093,8093,292,432,1288,1286,1052,1402,1233,730,332,44,2
서울특별시 광진구 중곡제4동(1121577000),13812,13812,631,946,2117,2068,1953,2459,2155,1096,364,20,3,14443,14443,572,839,2090,1991,1907,2736,2408,1275,547,75,3
서울특별시 광진구 능동(1121578000),5193,5193,252,243,1018,1131,814,681,580,324,136,14,0,6063,6063,228,245,1328,1362,793,774,714,390,199,27,3
서울특별시 광진구 광장동(1121581000),16638,16638,1437,2767,1959,1530,3234,2987,1620,700,353,49,2,17712,17712,1327,2635,1970,1924,3910,2891,1646,784,517,102,6
서울특별시 광진구 자양제1동(1121582000),10727,10727,430,760,1928,1931,1617,1718,1379,662,278,24,0,11365,11365,407,675,2127,1804,1631,1769,1574,886,429,62,1
서울특별시 광진구 자양제2동(1121583000),11725,11725,701,918,1689,1848,1845,1869,1764,798,267,24,2,12454,12454,703,820,1755,1836,1908,2128,1922,933,379,68,2
서울특별시 광진구 자양제3동(1121584000),13285,13285,1098,1201,1829,1824,2089,2235,1824,769,363,51,2,14499,14499,1034,1290,1820,2101,2295,2474,1913,907,559,104,2
서울특별시 광진구 자양제4동(1121584700),8992,8992,342,401,1440,1556,1223,1534,1481,727,268,19,1,9055,9055,323,411,1525,1338,1131,1409,1566,881,413,57,1
서울특별시 광진구 구의제1동(1121585000),11124,11124,466,590,2203,2307,1669,1675,1296,651,244,23,0,12211,12211,481,611,2713,2274,1668,1777,1450,784,390,58,5
서울특별시 광진구 구의제2동(1121586000),12632,12632,807,1131,1746,1837,2026,2186,1671,885,321,22,0,13644,13644,762,1074,1811,1845,2166,2359,1981,1056,509,76,5
서울특별시 광진구 구의제3동(1121587000),13439,13439,872,1182,2036,2159,1984,2273,1765,816,313,37,2,15009,15009,849,1238,2356,2299,2345,2482,1920,944,490,84,2
서울특별시 동대문구 (1123000000),166236,166236,9698,11497,27359,25027,25104,26382,23118,12512,5104,416,19,170962,170962,9259,11328,29057,23553,23531,25666,24436,15235,7737,1110,50
서울특별시 동대문구 용신동(1123053600),16332,16332,698,746,2876,3065,2388,2511,2335,1155,519,38,1,16388,16388,686,696,3586,2903,2037,2165,2139,1346,725,102,3
서울특별시 동대문구 제기동(1123054500),12555,12555,467,688,2430,1741,1598,1996,1899,1176,511,46,3,11975,11975,448,647,2138,1405,1288,1758,2001,1401,773,108,8
서울특별시 동대문구 전농제1동(1123056000),14432,14432,842,900,2257,2014,2170,2468,2196,1089,465,30,1,14412,14412,812,914,2175,1944,1891,2346,2125,1378,718,101,8
서울특별시 동대문구 전농제2동(1123057000),8824,8824,570,791,1081,1085,1370,1568,1289,682,352,35,1,9567,9567,557,832,1023,1061,1477,1646,1552,880,484,54,1
서울특별시 동대문구 답십리제1동(1123060000),13900,13900,1315,975,1827,2366,2482,2055,1722,812,316,29,1,14944,14944,1265,977,2246,2637,2337,2141,1740,980,532,81,8
서울특별시 동대문구 답십리제2동(1123061000),13585,13585,865,897,1696,2177,2011,2322,2050,1091,451,24,1,14435,14435,879,921,1684,2081,1969,2441,2285,1368,704,102,1
서울특별시 동대문구 장안제1동(1123065000),18841,18841,1204,1308,2386,3140,3217,2975,2674,1446,455,35,1,19259,19259,1091,1272,2743,3015,2995,2943,2888,1561,652,93,6
서울특별시 동대문구 장안제2동(1123066000),16106,16106,1370,1511,1879,2394,2923,2464,2105,1112,318,26,4,16326,16326,1277,1290,1849,2414,2810,2488,2315,1260,529,87,7
서울특별시 동대문구 청량리동(1123070500),9312,9312,332,542,1124,1121,1192,1638,1886,1018,415,44,0,9368,9368,327,485,1009,916,1089,1531,1928,1302,672,107,2
서울특별시 동대문구 회기동(1123071000),5099,5099,188,317,1633,820,635,607,462,274,149,12,2,5497,5497,184,357,1854,664,631,595,538,383,250,41,0
서울특별시 동대문구 휘경제1동(1123072000),6647,6647,387,362,1554,1153,884,932,750,419,191,15,0,7387,7387,391,418,2124,1068,798,979,771,538,254,43,3
서울특별시 동대문구 휘경제2동(1123073000),12003,12003,567,1006,2895,1517,1634,1817,1401,819,312,34,1,12034,12034,504,1051,2592,1311,1679,1754,1587,997,496,61,2
서울특별시 동대문구 이문제1동(1123074000),9047,9047,323,609,2434,1243,1118,1336,1035,602,321,25,1,9130,9130,301,635,2574,930,1059,1219,1090,798,461,62,1
서울특별시 동대문구 이문제2동(1123075000),9553,9553,570,845,1287,1191,1482,1693,1314,817,329,23,2,10240,10240,537,833,1460,1204,1471,1660,1477,1043,487,68,0
서울특별시 중랑구 (1126000000),191193,191193,10725,12736,26124,29606,28791,33075,29745,14597,5378,396,20,197114,197114,10157,12363,27510,28098,26717,33811,31606,17409,8142,1250,51
서울특별시 중랑구 면목제2동(1126052000),12027,12027,570,710,1586,1771,1827,2359,1902,922,352,28,0,12108,12108,533,722,1643,1562,1598,2296,2010,1133,520,89,2
서울특별시 중랑구 면목제4동(1126054000),9335,9335,511,621,1229,1335,1507,1633,1421,775,273,29,1,9425,9425,454,568,1155,1235,1370,1602,1555,1043,404,38,1
서울특별시 중랑구 면목제5동(1126055000),7410,7410,678,449,858,1309,1259,1237,989,464,158,9,0,7367,7367,694,426,827,1301,1109,1179,1022,538,241,29,1
서울특별시 중랑구 면목본동(1126056500),16491,16491,683,832,2477,2805,2449,3032,2496,1225,465,23,4,16868,16868,641,879,2623,2482,2162,3083,2632,1579,695,90,2
서울특별시 중랑구 면목제7동(1126057000),10824,10824,605,574,1421,1674,1612,1875,1782,951,304,26,0,10772,10772,494,549,1451,1550,1434,1877,1852,1045,441,77,2
서울특별시 중랑구 면목제3.8동(1126057500),12151,12151,490,684,1756,1841,1729,2247,1989,1019,368,27,1,12322,12322,455,658,1744,1600,1554,2267,2194,1216,551,79,4
서울특별시 중랑구 상봉제1동(1126058000),11538,11538,791,980,1578,1769,1707,1949,1748,712,287,17,0,12220,12220,801,852,1635,1744,1711,2156,1873,904,459,82,3
서울특별시 중랑구 상봉제2동(1126059000),9735,9735,368,385,1714,2273,1315,1531,1288,599,237,24,1,10473,10473,382,318,2454,2243,1211,1470,1326,712,308,45,4
서울특별시 중랑구 중화제1동(1126060000),9518,9518,528,605,1297,1635,1393,1473,1535,780,257,15,0,9832,9832,516,610,1305,1525,1228,1670,1663,887,380,48,0
서울특별시 중랑구 중화제2동(1126061000),12688,12688,544,573,1777,1906,1764,2455,2233,998,415,22,1,12047,12047,432,514,1796,1752,1475,2164,2080,1169,595,70,0
서울특별시 중랑구 묵제1동(1126062000),16519,16519,1011,1516,2298,2294,2720,2678,2249,1241,482,24,6,17906,17906,987,1467,2632,2332,2775,2901,2620,1430,659,95,8
서울특별시 중랑구 묵제2동(1126063000),9071,9071,450,561,1250,1409,1407,1564,1391,743,277,18,1,9428,9428,424,513,1326,1330,1353,1591,1599,868,380,43,1
서울특별시 중랑구 망우본동(1126065500),17605,17605,1252,1030,2261,2940,2609,2873,2843,1315,437,42,3,17981,17981,1195,1084,2543,2805,2271,2839,2827,1508,778,124,7
서울특별시 중랑구 망우제3동(1126066000),8162,8162,331,457,1106,1039,1119,1611,1501,718,258,22,0,7987,7987,288,533,1016,885,1026,1567,1407,824,357,82,2
서울특별시 중랑구 신내1동(1126068000),18515,18515,1357,1938,2378,2237,2886,2955,2840,1375,512,37,0,19809,19809,1305,1881,2244,2356,2968,3326,3106,1593,842,178,10
서울특별시 중랑구 신내2동(1126069000),9604,9604,556,821,1138,1369,1488,1603,1538,760,296,33,2,10569,10569,556,789,1116,1396,1472,1823,1840,960,532,81,4
서울특별시 성북구 (1129000000),208745,208745,13646,18540,31556,29161,32914,34785,26863,14387,6345,534,14,224838,224838,13115,17925,34350,29247,34232,35637,30363,18645,9717,1548,59
서울특별시 성북구 성북동(1129052500),7645,7645,341,577,1219,1214,1116,1290,1008,514,313,51,2,8776,8776,361,537,1454,1295,1285,1444,1112,743,438,102,5
서울특별시 성북구 삼선동(1129055500),10778,10778,479,896,1854,1583,1623,1881,1357,715,356,31,3,11925,11925,460,863,2329,1612,1676,1871,1448,987,595,76,8
서울특별시 성북구 동선동(1129057500),6470,6470,216,387,1498,1182,901,966,663,443,195,19,0,8971,8971,248,561,3094,1336,973,977,823,579,326,50,4
서울특별시 성북구 돈암제1동(1129058000),6759,6759,361,578,871,921,899,1295,1018,568,231,16,1,7710,7710,371,588,1008,981,1039,1364,1209,694,397,54,5
서울특별시 성북구 돈암제2동(1129059000),11188,11188,909,1319,1390,1344,1930,2003,1333,624,302,34,0,12454,12454,893,1368,1415,1496,2227,2170,1496,821,467,98,3
서울특별시 성북구 안암동(1129060000),7634,7634,201,454,2825,1122,789,965,704,391,167,15,1,7484,7484,197,380,2592,911,754,973,775,534,321,45,2
서울특별시 성북구 보문동(1129061000),7884,7884,531,489,1282,1393,1207,1321,964,473,212,12,0,8501,8501,527,526,1424,1339,1244,1356,1086,621,321,53,4
서울특별시 성북구 정릉제1동(1129062000),8642,8642,686,855,1096,1199,1467,1385,1082,586,264,22,0,9404,9404,628,837,1118,1241,1570,1494,1239,788,423,64,2
서울특별시 성북구 정릉제2동(1129063000),11070,11070,680,929,1579,1530,1695,1824,1579,870,355,29,0,11783,11783,645,838,1551,1496,1677,2001,1833,1100,555,87,0
서울특별시 성북구 정릉제3동(1129064000),7632,7632,278,529,1825,1058,860,1129,1017,629,282,25,0,7668,7668,245,468,1425,808,883,1176,1273,832,474,81,3
서울특별시 성북구 정릉제4동(1129065000),11839,11839,738,1065,1590,1485,1920,2020,1644,944,398,35,0,12819,12819,664,986,1591,1502,2021,2187,1982,1180,601,101,4
서울특별시 성북구 길음제1동(1129066000),16550,16550,1695,2405,1601,1808,3511,2765,1504,872,368,21,0,18387,18387,1619,2510,1720,2215,3945,2628,1868,1227,543,107,5
서울특별시 성북구 길음제2동(1129068500),10334,10334,1079,1033,1172,1470,1831,1745,1183,602,201,18,0,11145,11145,1025,951,1297,1621,2022,1751,1366,706,339,65,2
서울특별시 성북구 종암동(1129070500),19020,19020,1204,1936,2923,2486,2974,3154,2430,1205,636,68,4,19419,19419,1141,1586,2617,2372,3130,3164,2585,1667,981,171,5
서울특별시 성북구 월곡제1동(1129071500),12611,12611,884,1241,1389,1680,2154,2156,1731,940,402,34,0,13534,13534,885,1278,1553,1719,2197,2128,1932,1212,557,73,0
서울특별시 성북구 월곡제2동(1129072500),9303,9303,492,737,1488,1379,1337,1509,1328,697,317,18,1,10024,10024,433,711,2011,1260,1355,1457,1390,886,452,68,1
서울특별시 성북구 장위제1동(1129076000),11803,11803,828,944,1647,1745,1852,2021,1677,770,294,24,1,12282,12282,827,907,1607,1575,1820,2148,1857,981,497,61,2
서울특별시 성북구 장위제2동(1129077000),6700,6700,289,421,931,927,970,1216,1042,627,261,16,0,6940,6940,258,404,965,893,828,1172,1217,765,385,51,2
서울특별시 성북구 장위제3동(1129078000),7686,7686,834,646,946,1116,1371,1234,927,445,158,9,0,8024,8024,801,657,1026,1252,1268,1245,1046,485,209,34,1
서울특별시 성북구 석관동(1129081000),17197,17197,921,1099,2430,2519,2507,2906,2672,1472,633,37,1,17588,17588,887,969,2553,2323,2318,2931,2826,1837,836,107,1
서울특별시 강북구 (1130500000),144107,144107,6831,10332,19714,19089,22110,25488,22041,12721,5352,415,14,152382,152382,6501,10035,20786,17292,20850,25943,25050,16811,7975,1104,35
서울특별시 강북구 삼양동(1130553400),11631,11631,596,930,1565,1477,1700,2142,1785,1016,383,35,2,11672,11672,535,836,1397,1307,1642,2088,2001,1214,566,85,1
서울특별시 강북구 미아동(1130553500),10235,10235,335,660,1551,1478,1455,1775,1674,886,393,28,0,11085,11085,328,593,2040,1337,1357,1859,1786,1143,567,74,1
서울특별시 강북구 송중동(1130554500),14219,14219,722,913,1980,1999,2219,2463,2185,1210,492,35,1,15349,15349,709,1027,2078,1929,2141,2648,2494,1566,659,97,1
서울특별시 강북구 송천동(1130555500),12801,12801,437,741,1661,1626,1855,2446,2299,1214,485,35,2,13096,13096,457,723,1688,1386,1657,2372,2366,1591,765,85,6
서울특별시 강북구 삼각산동(1130557500),14821,14821,1327,1950,1599,1581,2903,2632,1603,883,319,22,2,16034,16034,1227,1901,1611,1805,3129,2606,1916,1156,592,87,4
서울특별시 강북구 번1동(1130559500),9259,9259,313,490,1530,1429,1460,1612,1298,782,317,28,0,9117,9117,268,492,1593,1223,1253,1442,1423,933,429,59,2
서울특별시 강북구 번2동(1130560300),7488,7488,283,496,1093,871,1083,1347,1238,761,296,20,0,8016,8016,254,436,1016,757,1029,1348,1431,1173,505,64,3
서울특별시 강북구 번3동(1130560800),7748,7748,386,600,918,808,1166,1365,1206,877,401,20,1,8819,8819,408,583,850,759,1179,1395,1456,1536,572,78,3
서울특별시 강북구 수유1동(1130561500),10100,10100,435,621,1472,1475,1531,1707,1565,892,367,35,0,10437,10437,404,629,1587,1223,1288,1759,1791,1127,558,66,5
서울특별시 강북구 수유2동(1130562500),10023,10023,485,675,1322,1314,1505,1744,1570,923,445,39,1,11043,11043,462,630,1482,1163,1406,1934,1923,1246,699,96,2
서울특별시 강북구 수유3동(1130563500),11456,11456,355,545,2002,1783,1696,2012,1665,968,395,35,0,11648,11648,334,525,2234,1522,1416,1933,1890,1175,552,64,3
서울특별시 강북구 우이동(1130564500),9858,9858,469,699,1175,1358,1436,1740,1568,901,468,43,1,10568,10568,458,656,1307,1159,1348,1859,1832,1209,638,101,1
서울특별시 강북구 인수동(1130566000),14468,14468,688,1012,1846,1890,2101,2503,2385,1408,591,40,4,15498,15498,657,1004,1903,1722,2005,2700,2741,1742,873,148,3
서울특별시 도봉구 (1132000000),152937,152937,8386,12212,20339,19813,22481,26705,24364,12868,5275,465,29,161725,161725,7754,11514,20051,18911,22790,28873,27343,15148,8003,1283,55
서울특별시 도봉구 창제1동(1132051100),11629,11629,666,1031,1545,1591,1839,2021,1646,854,402,31,3,12795,12795,664,985,1579,1591,1948,2242,1954,1111,624,96,1
서울특별시 도봉구 창제2동(1132051200),14015,14015,796,1085,1974,1972,2201,2446,1955,1098,464,24,0,14836,14836,747,1032,2025,1927,2146,2645,2278,1303,637,93,3
서울특별시 도봉구 창제3동(1132051300),6850,6850,347,526,872,822,1051,1266,1093,613,241,17,2,6858,6858,291,464,797,727,1003,1213,1192,765,367,37,2
서울특별시 도봉구 창제4동(1132051400),12635,12635,795,1282,1693,1585,1964,2249,1856,816,343,46,6,13654,13654,728,1210,1690,1700,2176,2542,1987,929,578,111,3
서울특별시 도봉구 창제5동(1132051500),11662,11662,721,917,1676,1716,1627,1965,1811,828,359,41,1,12743,12743,646,885,1771,1716,1752,2303,2059,983,529,95,4
서울특별시 도봉구 도봉제1동(1132052100),10429,10429,356,582,1283,1182,1471,1864,1906,1256,484,43,2,10371,10371,376,498,1152,998,1223,1837,2066,1441,701,78,1
서울특별시 도봉구 도봉제2동(1132052200),12932,12932,739,771,1544,1711,1821,2107,2288,1379,533,39,0,13509,13509,707,736,1460,1656,1739,2197,2604,1510,752,143,5
